name,suburb,rating,review_count_num,delivery_fee,delivery_time_min,delivery_time_max,price_tier,promo_label,promo_type,has_promo,is_sponsored,scraped_at
McDonald's®,Sydney CBD,,,,,,,,No Promotion,0,False,2026-06-09T01:25:56.235935
Hungry Jacks,Sydney CBD,,,,,,,,No Promotion,0,False,2026-06-09T01:25:56.247624
Brothers Kebabs N Burgers Annandale,Sydney CBD,,,,,,,,No Promotion,0,False,2026-06-09T01:25:56.256399
Metro Pita Kebab,Sydney CBD,,,,,,,,No Promotion,0,False,2026-06-09T01:25:56.267278
Metro Kebab & Burgers Kingscross,Sydney CBD,,,,,,,,No Promotion,0,False,2026-06-09T01:25:56.278659
Pyrmont Kebab,Sydney CBD,,,,,,,,No Promotion,0,False,2026-06-09T01:25:56.285357
Golden Five Star Kebabs and Pizza,Sydney CBD,,,,,,,,No Promotion,0,False,2026-06-09T01:25:56.292895
Brew and Bites,Sydney CBD,,,,,,,,No Promotion,0,False,2026-06-09T01:25:56.300947
Oporto,Sydney CBD,,,,,,,,No Promotion,0,False,2026-06-09T01:25:56.312257
Little Weiner,Sydney CBD,,,,,,,,No Promotion,0,False,2026-06-09T01:25:56.319618
Spitz Kebab & Grill KC,Sydney CBD,,,,,,,,No Promotion,0,False,2026-06-09T01:25:56.328035
CK's Canterbury Kebabs & Burgers,Sydney CBD,,,,,,,,No Promotion,0,False,2026-06-09T01:25:56.336901
Philliez,Sydney CBD,,,,,,,,No Promotion,0,False,2026-06-09T01:25:56.345455
Fish&Chips+Chinese Woolloomooloo,Sydney CBD,,,,,,,,No Promotion,0,False,2026-06-09T01:25:56.352755
CK’s Canterbury Kebabs & Burgers Five Dock,Sydney CBD,,,,,,,,No Promotion,0,False,2026-06-09T01:25:56.359624
Social Society Sydney,Sydney CBD,,,,,,,,No Promotion,0,False,2026-06-09T01:25:56.366491
Rap N' Roll,Sydney CBD,,,,,,,,No Promotion,0,False,2026-06-09T01:25:56.375887
